Itm,Cnd,Sentence
1,a,Who do you think that the new professor isn't going to persuade?
1,b,Who thinks that the new professor isn't going to persuade?
1,c,Which donor do you think that the new professor isn't going to persuade?
1,d,Which donor thinks that the new professor isn't going to persuade?
1,e,Who do you think that the new professor isn't going to persuade anyone?
1,f,Who thinks that the new professor isn't going to persuade anyone?
1,g,Which donor do you think that the new professor isn't going to persuade anyone?
1,h,Which donor thinks that the new professor isn't going to persuade anyone?
2,a,Who do you suppose that the new boss won't include?
2,b,Who supposes that the new boss won't include?
2,c,Which worker do you suppose that the new boss won't include?
2,d,Which worker supposes that the new boss won't include?
2,e,Who do you suppose that the new boss won't include anyone?
2,f,Who supposes that the new boss won't include anyone?
2,g,Which worker do you suppose that the new boss won't include anyone?
2,h,Which worker supposes that the new boss won't include anyone?
3,a,Who do you feel that the article will bother?
3,b,Who feels that the article will bother?
3,c,Which politician do you feel that the article will bother?
3,d,Which politician feels that the article will bother?
3,e,Who do you feel that the article will bother someone?
3,f,Who feels that the article will bother someone?
3,g,Which politician do you feel that the article will bother someone?
3,h,Which politician feels that the article will bother someone?
4,a,Who do you assume that the controversial politician would praise?
4,b,Who assumes that the controversial politican would praise?
4,c,Which author do you assume that the controversial politician would praise?
4,d,Which author assumes that the controversial politican would praise?
4,e,Who do you assume that the controversial politician would praise anyone?
4,f,Who assumes that the controversial politician would praise anyone?
4,g,Which author do you assume that the controversial politician would praise anyone?
4,h,Which author assumes that the controversial politican would praise anyone?
5,a,Who do you allege that the secretive publisher has protected?
5,b,Who alleges that the secretive publisher has protected?
5,c,Which senator do you allege that the secretive publisher has protected?
5,d,Which senator alleges that the secretive publisher has protected?
5,e,Who do you allege that the secretive publisher has protected someone?
5,f,Who alleges that the secretive publisher has protected someone?
5,g,Which senator do you allege that the secretive publisher has protected someone?
5,h,Which senator alleges that the secretive publisher has protected someone?
6,a,Who do you argue that the social secretary should invite?
6,b,Who argues that the social secretary should invite?
6,c,Which celebrity do you argue that the social secretary should invite?
6,d,Which celebrity argues that the social secretary should invite?
6,e,Who do you argue that the social secretary should invite someone?
6,f,Who argues that the social secretary should invite someone?
6,g,Which celebrity do you argue that the social secretary should invite someone?
6,h,Which celebrity argues that the social secretary should invite someone?
7,a,Who are you sure that the talented kid could imitate?
7,b,Who is sure that the talented kid could imitate?
7,c,Which teacher are you sure that the talented kid could imitate?
7,d,Which teacher is sure that the talented kid could imitate?
7,e,Who are you sure  that the talented kid could imitate anyone?
7,f,Who is sure that the talented kid could imitate anyone?
7,g,Which teacher are you sure that the talented kid could imitate anyone?
7,h,Which teacher is sure that the talented kid could imitate anyone?
8,a,Who are you certain that the rookie agent can't guard?
8,b,Who is certain that the rookie agent can't guard?
8,c,Which witness are you certain that the rookie agent can't guard?
8,d,Which witness is certain that the rookie agent can't guard?
8,e,Who are you certain that the rookie agent can't guard anyone?
8,f,Who is certain that the rookie agent can't guard anyone?
8,g,Which witnes are you certain that the rookie agent can't guard anyone?
8,h,Which witness is certain that the rookie agent can't guard anyone?
9,a,Who do you think that the overworked manager should employ?
9,b,Who thinks that the overworked manager should employ?
9,c,Which consultant do you think that the overworked manager should employ?
9,d,Which consultant thinks that the overworked manager should employ?
9,e,Who do you think that the overworked manager should employ someone?
9,f,Who thinks that the overworked manager should employ someone?
9,g,Which consultant do you think that the overworked manager should employ someone?
9,h,Which consultant thinks that the overworked manager should employ someone?
10,a,Who do you assume that the crooked CEO could persuade?
10,b,Who assumes that the crooked CEO could persuade?
10,c,Which shareholder do you assume that the crooked CEO could persuade?
10,d,Which shareholder assumes that the crooked CEO could persuade?
10,e,Who do you assume that the crooked CEO could persuade anyone?
10,f,Who assumes that the crooked CEO could persuade anyone?
10,g,Which shareholder do you assume that the crooked CEO could persuade anyone? 
10,h,Which shareholder assumes that the crooked CEO could persuade anyone?
11,a,Who don't you believe that the parrot could imitate?
11,b,Who doesn't believe that the parrot could imitate?
11,c,Which diva don't you believe that the parrot could imitate?
11,d,Which diva doesn't believe that the parrot could imitate?
11,e,Who don't you believe that the parrot could imitate anyone?
11,f,Who doesn't believe that the parrot could imitate anyone?
11,g,Which diva don't you believe that the parrot could imitate anyone?
11,h,Which diva doesn't believe that the parrot could imitate anyone?
12,a,Who do you predict that the rumor will bother?
12,b,Who predicts that the rumor will bother?
12,c,Which actor do you predict that the rumor will bother?
